Checklist #, Star Count, Image, Set, Player, Rarity Tier, Country, Supply
055, 0, QmX7U63T4kKBgbj9tAzc8oiRfBjaau4JcVFru6EcaoKx9v, Originals, Timo Werner, Bronze, Germany, 78
056, 0, QmeNphaCcm6NFCsXiQqgcQ3GKPEbQCqXewdBPj4S4cAKAc, Originals, Gylfi Sigurðsson, Bronze, Iceland, 76
057, 0, QmbbfxrJLfkeNKATGAxBcZQyMEJJeM8q3mSWE8XVnGBp5C, Originals, Nemanja Matić, Bronze, Serbia, 79
058, 0, QmTQFxxTvKaaxapigGCanco4vkP76UZ3W2hHy6r1vop7Uv, Originals, Kalidou Koulibaly, Bronze, Senegal, 79
059, 0, QmddeqipHvH26gbEEGR5fWidPfNFqoVoT1zDzyGuWcz2QY, Originals, Bernardo Silva, Bronze, Portugal, 78
060, 0, QmPhoPSqWt4yDp2mLULqLNvh6P8Smi8Krz9w2nKUYLVona, Originals, Vincent Kompany, Bronze, Belgium, 78
061, 0, QmaF53SaX43o75WyzgLziFfsD3Q1DunTisbQUGea59LqA2, Originals, João Moutinho, Bronze, Portugal, 78
062, 0, QmdyC7cwDjdxJteRrWZxGsZCx3PTDDAsR85Mfd6bHwiJCq, Originals, Toby Alderweireld, Bronze, Belgium, 78
063, 0, QmYVwoAeMGXBpYDWG4oyPKn7BFYpsd9Zjhzt6H7zhbs8J3, Originals, Emil Forsberg, Bronze, Sweden, 78
064, 0, QmXTYKnPi6DQCCdpD7eaRKTNthoS3PhBYEs5JMAUx4EhfB, Originals, Mario Mandžukić, Bronze, Croatia, 78
065, 0, QmaihzubsWnqnNpPNnrsk62qJvjgar3BCriHXWhQoar1An, Originals, Sergej Milinković-Savić, Bronze, Serbia, 78
066, 0, QmajNxCCWmed5429MgXAbs39JfagKyatFsFDFwEdANpDWa, Originals, Shinji Kagawa, Bronze, Japan, 79
067, 0, QmPHjWadMdb2atDGLjakJqw5dxF1Sqx1SDN4oZMX1N7pfV, Originals, Granit Xhaka, Bronze, Switzerland, 80
068, 0, QmV2MFsHYPaBwjiTFtEPsjaYY6KJJDCA4ELvRbv6Cr4Lw9, Originals, Andreas Christensen, Bronze, Denmark, 77
069, 0, Qmc9mcLT1nPh35Dc36L8bbUVGcLCqiv3srGuMyur5Nedfd, Originals, Piotr Zieliński, Bronze, Poland, 80
070, 0, QmdkAfZepcESYahULMNnRrKspHRhQMQvJgWTC5DuAKgBqy, Originals, Fyodor Smolov, Bronze, Russia, 79
071, 0, QmYqpNNR7rVRxcpW8xuVVcENzifx35H8sQTYnUHg9rJQEc, Originals, Xherdan Shaqiri, Bronze, Switzerland, 80
072, 0, QmVrDgx6aQiBxEFhVmV3vo3mevWU8xzbrh1eXtpNg3PnRA, Originals, Marcus Rashford, Bronze, England, 78
073, 0, QmUnJxaz89Rp9G9B4bWpwYBoyTCpQtc6QSLDyum1gC5BMt, Originals, Javier Hernández, Bronze, Mexico, 80
074, 0, QmedVwEmWU1AvKsYScAiahnzNQdDBCxvz2YGjJPeUrbKFm, Originals, Hirving Lozano, Bronze, Mexico, 80
075, 0, QmVDAdhKgeCdqh84wWLDQEnRGzycm7aVCCxmdzHU8pAP4S, Originals, Hakim Ziyech, Bronze, Morocco, 79
