Checklist #,Star Count,Image,Set,Player,Rarity Tier,Country,Supply,JSON
92,0,QmRhiwA7rFoM7ymzF7MtPhq2hYTkGKYiVtkkHjbvzSmEhz,Originals,Lee Chung-yong,Bronze,South Korea,80,QmS28iapyi8ZdWSQkj8Z661JpXJjtsV3TmXVcGrkNHnnqq
93,0,QmSxNYrxYEDmKkLXJwLwA4r9457DYvPXRufomkniKMKqtG,Originals,Gabriel Gómez,Bronze,Panama,79,QmcFGxs8JW3ckSPAaehAnqWjHvV5dAEyvVzdN6TLKDV4ov
94,0,QmdNuSy7MM73bM9sG9ax7TB4tQ8KrWxh6F9j6tqF4VS4Qm,Originals,Naïm Sliti,Bronze,Tunisia,78,QmXHBT7kQy6aNECitqpVVf8pnWEWiPWYjfNTrS1uAVz8gY
95,0,QmcLuzJE2TCz5JFEwra1DkBj6F8cdRP3qowdtZ1D4KyLeD,Originals,Reza Ghoochannejhad,Bronze,Iran,78,Qmc67t92LMdFmnwsNEAUPyXaTB23LhWCWsmjWAoi1gSK8N
96,0,QmayTC1rPGZNKTg4ELebScB9ZY4BeVpGCZ4XmVNV8cALWe,Originals,Mile Jedinak,Bronze,Australia,78,QmcWcVTkpzd9JFCtqYghCEcM7bhdmpsAGJqzx7a2HZys5p
97,0,QmdodCw1R9iU8EAVz2YkbD2cTaj8knopTb9ZcyggKvLLEZ,Originals,Mohammad Al-Sahlawi,Bronze,Saudi Arabia,78,Qma3ja2CvyJh8AgAZtxrZFG876nEBzMobAhp1s9uHiF7kD
98,0,QmSAvsRQLgX21snZN7UU8L7rB9fQ6VCFEkvGeKHBBymWZQ,Originals,Aron Gunnarsson,Bronze,Iceland,80,QmXAZuA7ToFiXXZmhjUyjmgWAKNuAyN48Hwme7PGyK6UoZ
99,0,QmSrqGM6WY6uYN4TqTHXBivvs2FFUPLNhj5NCLHi14KScd,Originals,Blas Pérez,Bronze,Panama,79,QmNNdCRWKVWUvGbhKRx8yQzB3JHvRfBte4qSoYVcNx98ow
100,0,QmZRJ5pBwpjAYrbyLqRQPj5TsAQPX3uscHuuZMkoqpg5SF,Iconics,Lionel Messi,Card of the Day,Argentina,13,QmPs6XfRX8qzPdC7Xsg2Wt2i7mYrBxzgzJLFHHTZnKtwXm
101,0,QmRLFhMbRVaSmu2oq8db2B95J4FqG8KLXH7SxixeYWK4Wf,Iconics,Cristiano Ronaldo,Card of the Day,Portugal,12,QmaLdAVnpp7c4ASxcisDoDEN1RkCU4brjTp95knyANsrMt
102,0,QmNpuXTM3uWkWRXijFbVeA8GXtVzQXLiK3Q2vvi8h956d9,Iconics,Neymar,Card of the Day,Brazil,9,QmXfwn8mFFr29SCVFUyrJp9tuUJGLZwcEHHLgodXKYoGco
103,0,Qmdriy31iD2Y9uX4P4gMFnaz36SQoCvtDPMBMkgFKATsY3,Iconics,Mohamed Salah,Card of the Day,Egypt,7,QmVLcLSiX7omNnKVo2L2r5Deg6bkQoZaPYAz5vyyWVqzsm
104,0,QmQDCiQfiY6DJv6Vwe1RamTeBDVMn12FcHHLSyc526gpDD,Iconics,Robert Lewandowski,Card of the Day,Poland,5,QmTxVzLjxdNhYapetApKpGAFHpWut6W1wudCjqW9xSp4TT
105,0,QmPcbLsP9m2HMcPvv2rr9VA4KiRJDQaAzZQCVAyoKVYLSR,Iconics,Kevin De Bruyne,Card of the Day,Belgium,8,QmSKH3TQ3EYeiQURToCgZgBZU7GGGnG8tnrKD4aMWwiCxy
106,0,Qmf9WtWb1gmqxihsbZDboYLb4VTsDRaDAVZKPAuEKWHMGT,Iconics,Luka Modrić,Card of the Day,Croatia,9,QmR6GHnvpypeq8KpvNU1qxqDbRYL9YUQPQ6QJQrkuHCGUE
107,0,QmbVBw82XK5fcJnMFUKRczzkRCbXwFKUm8Zo9hJkZMLmpF,Iconics,Eden Hazard,Card of the Day,Belgium,9,QmbFKtU2Dqgox9z7PzYLBUsNMRDbmYhEzRS6gK6jzeFt9n
108,0,QmYDPft6433qVnGBZriWAgVeAUHNrG2pipjU6Z2cNwq86U,Iconics,Sergio Ramos,Card of the Day,Spain,2,QmTDio4het5PYWQrJHDjfcqSzAq8dEusxpQCHb45Ed8KpR
109,0,QmXmhiSzC6Gbksopd32CJ2HxFEuMRBNUMGkkV7dHRQwFZw,Iconics,Toni Kroos,Card of the Day,Germany,5,QmQJCgs8MVWYFREd95xJEuGKczSYCuzBKFR2v2bJMKsWCc
110,0,QmdDMkQ8tKG1SUaXE54kDeKeLdK1yN21qZk6aoy4Uv1MCR,Iconics,Luis Suárez,Card of the Day,Uruguay,5,QmQaa9gG11bSUs6W9DfmVJjn96HxCEbZvFAukHL4BQ6gBJ
111,0,QmahfkqALsxTVNYgF8prRfBQcinVh5wHuZL64qjG99n6Sm,Iconics,Harry Kane,Card of the Day,England,15,QmVXUbEMvynz3AsSz7NmF4j5fTNXtScbLmiSGiYDRjSuf2
112,0,QmRAfQb1Mzw695FAJS21vDD1ckeFG1fuyKnVVoUHR7fB1B,Iconics,Sergio Agüero,Card of the Day,Argentina,7,QmaXHWcp2TLVchxSeftSF2kXDohcE8aSQxQcA9ognruq2v
113,0,QmaMHSqAxKvUfjATy4VmNbXvbkYnPoqwrH4SXebVYZUhpg,Iconics,David de Gea,Card of the Day,Spain,19,QmRfnmNfRrxEdR8Rrcs7hGLKCZPmXqxjDNF4VZxsDet7fN
114,0,QmU8LxSPz4oqabhGvD9HdtPFANXhddNbTF25guUazq4x4v,Iconics,Antoine Griezmann,Card of the Day,France,7,QmW4nkukKgd3tN5zJv9WbWAeqw5R5eTArh2nq23hnv744Z
